datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,ssb_q1,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,12014.46,ssb,10
iceberg,spark,ssb_q11,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,3552.35,ssb,10
iceberg,spark,ssb_q13,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,3943.16,ssb,10
iceberg,spark,ssb_q14,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,1593.01,ssb,10
iceberg,spark,ssb_q17,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,5807.53,ssb,10
iceberg,spark,ssb_q19,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,5196.19,ssb,10
iceberg,spark,ssb_q22,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,1828.73,ssb,10
iceberg,spark,ssb_q23,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,4906.97,ssb,10
iceberg,spark,ssb_q25,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,1524.71,ssb,10
iceberg,spark,ssb_q27,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,11452.47,ssb,10
