datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,ssb_flat_q_05,103.0;14.0;20.0;36.0;256.0;237.0;280.0|1;1;0,1106.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,60.0;17.0;17.0;28.0;16.0;103.0;156.0|1;0;0,823.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,60.0;17.0;28.0;17.0;16.0;103.0;156.0|1;1;1,843.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;1;0,933.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;0;0,920.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,30.0;15.0;15.0;11.0;128.0;33.0;106.0|1;1;1,973.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,1307.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,30.0;15.0;11.0;15.0;128.0;33.0;106.0|1;0;1,1385.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,868.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,136.0;17.0;36.0;21.0;128.0;155.0;232.0|0;1;0,792.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;1;0,1051.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;0;1,829.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,136.0;17.0;21.0;36.0;128.0;155.0;232.0|1;1;0,828.0,ssb-flat,10
hudi,trino,ssb_flat_q_06,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,2846.0,ssb-flat,10
hudi,trino,ssb_flat_q_06,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,3955.0,ssb-flat,10
hudi,trino,ssb_flat_q_06,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,4088.0,ssb-flat,10
hudi,trino,ssb_flat_q_06,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;0,3394.0,ssb-flat,10
hudi,trino,ssb_flat_q_06,103.0;14.0;36.0;20.0;256.0;237.0;280.0|0;1;1,3803.0,ssb-flat,10
hudi,trino,ssb_flat_q_06,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;1,3077.0,ssb-flat,10
hudi,trino,ssb_flat_q_06,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;0,2771.0,ssb-flat,10
hudi,trino,ssb_flat_q_06,103.0;14.0;20.0;36.0;256.0;237.0;280.0|1;1;0,3766.0,ssb-flat,10
hudi,trino,ssb_flat_q_06,60.0;17.0;17.0;28.0;16.0;103.0;156.0|1;0;0,2721.0,ssb-flat,10
hudi,trino,ssb_flat_q_06,60.0;17.0;28.0;17.0;16.0;103.0;156.0|1;1;1,3580.0,ssb-flat,10
hudi,trino,ssb_flat_q_06,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;1;0,3222.0,ssb-flat,10
hudi,trino,ssb_flat_q_06,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;0;0,2765.0,ssb-flat,10
hudi,trino,ssb_flat_q_06,30.0;15.0;15.0;11.0;128.0;33.0;106.0|1;1;1,4779.0,ssb-flat,10
hudi,trino,ssb_flat_q_06,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,3964.0,ssb-flat,10
hudi,trino,ssb_flat_q_06,30.0;15.0;11.0;15.0;128.0;33.0;106.0|1;0;1,3329.0,ssb-flat,10
